
X        Y        RA               DEC              I             DI            Q             DQ            U             DU            P             DP            ANG           DANG          PI            DPI           AST           ID           
=======================================================================================================================================================================================================================================================

-1.5     -38.5    17:45:47.357     -29:01:59.50     318.688       2.45171       -3.72474      1.04219       7.4208        1.03425       2.60541       0.325654      58.3268       3.59032       8.30313       1.03585       1             1            
-0.5     -38.5    17:45:46.446     -29:01:59.50     198.723       3.04132       -9.73517      0.960537      2.81418       0.893047      5.09944       0.487114      81.9384       2.53984       10.1338       0.955502      1             2            
0.5      -38.5    17:45:45.528     -29:01:59.50     456.947       2.1374        -14.7245      0.855171      3.07398       0.712045      3.29185       0.186583      84.104        1.36858       15.042        0.849676      1             3            
1.5      -38.5    17:45:44.610     -29:01:59.50     707.049       1.38931       -5.06425      0.87558       -1.70717      0.915084      0.755854      0.124426      -80.6855      4.88412       5.34426       0.879692      1             4            
2.5      -38.5    17:45:43.698     -29:01:59.50     955.359       2.4358        -1.71866      0.725264      -7.83512      0.865159      0.839622      0.0899641     -51.186       2.61526       8.0214        0.859236      1             5            
3.5      -38.5    17:45:42.780     -29:01:59.50     1515.73       2.96619       1.57391       0.850419      -7.84785      0.759657      0.528068      0.0503734     -39.3298      3.03186       8.00412       0.763367      1             6            
4.5      -38.5    17:45:41.869     -29:01:59.50     1570.62       1.79177       9.18238       0.821537      -6.82901      0.628106      0.728593      0.0482894     -18.3192      1.76022       11.4434       0.758329      1             7            
5.5      -38.5    17:45:40.951     -29:01:59.50     1324.98       1.92511       5.92683       0.779891      -4.26714      0.913281      0.551189      0.0624854     -17.8764      3.41291       7.30314       0.82785       1             8            
6.5      -38.5    17:45:40.033     -29:01:59.50     1197.27       1.85366       -0.821656     0.772168      -2.67062      0.741153      0.233378      0.062133      -53.5506      7.88987       2.79416       0.743886      1             9            
7.5      -38.5    17:45:39.122     -29:01:59.49     840.575       3.05121       -0.813095     0.970917      2.34958       1.01578       0.295784      0.120289      54.5443       11.2437       2.48629       1.01108       1             10           
8.5      -38.5    17:45:38.204     -29:01:59.49     1031.41       4.584         -2.68483      0.74106       6.84435       0.878349      0.712823      0.083568      55.7093       2.9645        7.35211       0.861307      1             11           
9.5      -38.5    17:45:37.286     -29:01:59.49     1923.08       4.4608        -11.962       1.05754       5.1815        0.982122      0.677871      0.054414      78.2898       2.18533       13.036        1.04599       1             12           
10.5     -38.5    17:45:36.381     -29:01:59.49     1883.93       4.08933       -10.9777      0.573643      4.78188       0.968033      0.635584      0.034674      78.231        2.19293       11.9739       0.652716      1             13           
11.5     -38.5    17:45:35.463     -29:01:59.48     1321.85       1.66376       -8.06118      0.794696      4.3666        0.816983      0.693564      0.0605129     75.7782       2.53729       9.16787       0.799806      1             14           
12.5     -38.5    17:45:34.551     -29:01:59.48     962.328       1.84858       -3.61441      0.895755      -0.516291     0.50041       0.379403      0.0924425     -85.9354      4.01199       3.6511        0.889573      1             15           
13.5     -38.5    17:45:33.633     -29:01:59.48     506.636       1.65898       0.150064      0.686953      -4.17536      0.770114      0.824666      0.152009      -43.9708      4.71105       4.17805       0.770013      1             16           
